frame_idx,track_id,similarity_score,is_target,bbox_x1,bbox_y1,bbox_x2,bbox_y2
43,32,0.4342,False,1096,483,1158,700
43,34,0.5049,False,572,395,693,785
43,42,0.5678,False,1810,245,1878,904
43,44,0.4305,False,1468,430,1521,631
44,1,0.588,False,119,403,256,801
44,2,0.5536,False,241,405,382,800
44,3,0.626,False,1562,311,1793,890
44,6,0.5266,False,391,387,532,799
44,7,0.8788,True,860,327,1051,925
44,8,0.4977,False,700,429,836,775
44,10,0.4718,False,1304,406,1467,807
44,32,0.4507,False,1095,478,1159,700
44,34,0.5024,False,575,395,696,785
44,42,0.5908,False,1797,242,1873,918
44,44,0.4378,False,1468,434,1522,634
45,1,0.5846,False,119,403,255,800
45,2,0.5575,False,238,403,379,799
45,3,0.6209,False,1559,312,1792,888
45,6,0.5144,False,392,391,531,798
45,7,0.8707,True,857,328,1047,922
45,8,0.4963,False,700,427,837,776
45,10,0.4692,False,1303,406,1466,806
45,32,0.4563,False,1097,474,1163,701
45,34,0.5003,False,578,394,699,786
45,42,0.5977,False,1783,254,1866,918
45,44,0.4474,False,1467,436,1523,635
45,47,0.3906,False,499,450,577,723
46,1,0.5753,False,120,402,255,798
46,2,0.5372,False,234,399,376,798
46,3,0.6164,False,1551,317,1782,885
46,6,0.5047,False,391,394,528,796
46,7,0.8882,True,862,328,1052,918
46,8,0.4763,False,701,424,838,776
46,10,0.463,False,1303,411,1464,805
46,32,0.4577,False,1093,467,1161,702
46,34,0.5041,False,577,395,701,794
46,42,0.6313,False,1771,256,1862,922
46,44,0.451,False,1466,437,1524,635
46,47,0.3912,False,499,451,578,725
47,1,0.5804,False,120,402,254,795
47,2,0.5282,False,232,397,373,797
47,3,0.5782,False,1546,324,1775,884
47,6,0.5047,False,390,395,526,795
47,7,0.8929,True,861,327,1050,910
47,8,0.4926,False,701,422,838,776
47,10,0.4645,False,1300,409,1462,804
47,32,0.4927,False,1077,449,1150,699
47,34,0.4931,False,577,395,701,796
47,42,0.6189,False,1760,257,1861,934
47,44,0.4428,False,1468,437,1528,635
47,47,0.4134,False,500,452,578,728
48,1,0.5856,False,118,401,252,794
48,2,0.5396,False,230,396,371,796
48,3,0.5869,False,1539,328,1766,884
48,6,0.5056,False,387,395,523,796
48,7,0.9011,True,863,326,1049,900
48,8,0.5,False,701,420,839,776
48,10,0.4766,False,1296,406,1457,802
48,32,0.5016,False,1071,444,1146,698
48,34,0.493,False,578,395,703,797
48,42,0.6199,False,1750,259,1861,939
48,44,0.4401,False,1466,437,1528,634
48,47,0.4018,False,501,455,579,728
49,1,0.5762,False,117,400,251,793
49,2,0.5193,False,229,397,369,794
49,3,0.5924,False,1536,331,1761,884
49,6,0.498,False,383,393,518,796
49,7,0.9153,True,868,324,1055,893
49,8,0.5124,False,706,421,842,777
49,10,0.4626,False,1290,402,1450,799
49,32,0.5095,False,1065,437,1143,698
