timestamp,track_id,raw_score,smoothed_val,voting_ready,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1786539090.497144,21,0.6107,0.6391,True,73,76,544,473
1786539090.689892,21,0.606,0.6291,True,87,83,548,474
1786539090.8795178,21,0.6502,0.6355,True,105,84,543,473
1786539091.072503,21,0.6884,0.6514,True,129,76,511,473
1786539091.2662134,21,0.6951,0.6645,True,126,75,466,473
1786539091.4713354,21,0.6743,0.6674,True,122,71,417,473
1786539091.6636415,21,0.6747,0.6696,True,124,70,400,474
1786539091.854326,21,0.8177,0.714,True,14,10,413,475
1786539092.0656922,1000,0.7528,0.7528,True,75,1,546,473
1786539092.2728972,21,0.6645,0.6645,True,124,0,343,466
1786539092.4816105,21,0.6831,0.6701,True,123,3,379,471
1786539092.6728015,1000,0.8259,0.8259,True,315,1,619,474
1786539092.6728015,1001,0.7359,0.7359,True,119,209,277,474
1786539092.6728015,1002,0.7706,0.7706,True,256,31,406,475
1786539092.946467,1000,0.8572,0.8353,True,281,1,604,474
1786539092.946467,1001,0.7037,0.7262,True,117,205,308,472
1786539093.2262604,1000,0.8794,0.8486,True,229,2,533,474
1786539093.2262604,1001,0.7385,0.7299,True,118,204,307,475
1786539093.5029964,21,0.943,0.943,True,140,1,421,473
1786539093.7083073,21,0.9227,0.9369,True,119,2,372,476
1786539093.9051554,21,0.9013,0.9262,True,124,1,354,476
1786539094.1117778,21,0.9224,0.9251,True,127,1,347,476
1786539094.1117778,28,0.7397,0.7397,True,359,105,527,474
1786539094.3374364,21,0.9498,0.9325,True,123,7,371,476
1786539094.3374364,28,0.7394,0.7396,True,393,114,572,474
1786539094.55788,21,0.9626,0.9415,True,120,13,418,477
1786539094.55788,28,0.7016,0.7282,True,432,114,598,473
1786539094.7814589,21,0.9492,0.9438,True,140,24,462,475
1786539094.7814589,28,0.6916,0.7172,True,477,114,638,473
1786539095.025454,21,0.9575,0.9479,True,189,25,461,477
1786539095.025454,28,0.6449,0.6955,True,521,121,640,473
1786539095.2500248,21,0.9648,0.953,True,208,28,450,476
1786539095.2500248,28,0.6004,0.667,True,543,153,640,468
1786539095.4725862,21,0.9652,0.9567,True,218,26,436,476
1786539095.4725862,28,0.6265,0.6549,True,566,169,640,465
1786539095.7138488,21,0.9345,0.95,True,228,29,406,477
1786539095.8889327,21,0.9331,0.9449,True,238,31,417,477
1786539096.0807881,21,0.9521,0.9471,True,276,39,460,476
1786539096.2749484,21,0.9566,0.9499,True,306,44,509,475
1786539096.480494,21,0.9447,0.9484,True,325,44,605,474
1786539096.6731164,21,0.9592,0.9516,True,321,48,570,473
1786539096.864881,21,0.9692,0.9569,True,301,49,558,473
1786539096.864881,29,0.6409,0.6409,True,125,206,335,472
1786539097.1066937,21,0.9725,0.9616,True,299,50,542,474
1786539097.1066937,29,0.6415,0.6411,True,125,205,343,475
1786539097.3250751,21,0.9625,0.9619,True,307,51,504,474
1786539097.3250751,29,0.6252,0.6363,True,124,204,345,475
1786539097.3250751,30,0.687,0.687,True,514,111,639,471
1786539097.5887713,21,0.9092,0.9461,True,325,50,466,473
1786539097.5887713,29,0.6295,0.6343,True,124,204,345,475
1786539097.5887713,30,0.6734,0.6829,True,523,113,639,471
1786539097.8568957,21,0.9318,0.9418,True,271,54,410,473
1786539097.8568957,29,0.6468,0.638,True,130,203,320,475
1786539097.8568957,30,0.6614,0.6765,True,509,107,639,473
1786539098.128923,21,0.9307,0.9385,True,188,48,361,475
1786539098.128923,29,0.7624,0.6753,True,121,210,266,475
1786539098.128923,30,0.6485,0.6681,True,504,109,639,473
1786539098.4017746,21,0.9427,0.9397,True,130,42,319,473
1786539098.4017746,30,0.6195,0.6535,True,493,111,639,474
1786539098.6367917,21,0.9522,0.9435,True,94,39,292,474
1786539098.6367917,30,0.6748,0.6599,True,457,111,639,474
1786539098.8620582,21,0.9363,0.9413,True,40,35,256,473
1786539098.8620582,30,0.6204,0.6481,True,413,101,610,475
1786539099.104054,21,0.9329,0.9388,True,1,24,211,473
1786539099.104054,30,0.6931,0.6616,True,377,96,570,473
1786539099.344526,21,0.95,0.9422,True,0,19,190,473
1786539099.344526,30,0.7052,0.6747,True,348,94,561,472
1786539099.5686855,21,0.953,0.9454,True,0,19,184,473
1786539099.5686855,30,0.6733,0.6742,True,327,94,536,473
1786539099.7921228,21,0.9595,0.9496,True,0,18,184,474
1786539099.7921228,30,0.6598,0.6699,True,304,93,514,473
1786539100.0167649,21,0.9574,0.952,True,0,16,181,474
1786539100.0167649,30,0.7289,0.6876,True,284,88,503,473
1786539100.241028,21,0.9416,0.9489,True,0,11,176,475
1786539100.241028,30,0.6592,0.6791,True,264,88,484,473
1786539100.4614103,21,0.9288,0.9429,True,0,4,169,473
1786539100.4614103,30,0.6908,0.6826,True,269,83,467,473
1786539100.688517,21,0.9133,0.934,True,0,7,145,474
1786539100.688517,30,0.6618,0.6764,True,233,80,460,474
1786539100.9291966,21,0.8818,0.9183,True,0,16,90,472
1786539100.9291966,30,0.6837,0.6786,True,202,75,458,474
1786539101.1687899,21,0.7959,0.8816,True,0,114,62,470
1786539101.1687899,30,0.6926,0.6828,True,186,71,492,472
1786539101.3899548,21,0.7973,0.8563,True,0,136,53,466
1786539101.3899548,30,0.6674,0.6782,True,202,75,471,473
1786539101.6176634,21,0.8178,0.8448,True,0,140,60,470
1786539101.6176634,30,0.6891,0.6814,True,230,78,468,474
1786539101.8576748,30,0.6125,0.6608,True,235,89,466,474
1786539102.0776808,30,0.6771,0.6657,True,229,88,469,472
1786539102.288027,30,0.6179,0.6513,True,262,87,476,474
1786539102.4970782,30,0.6512,0.6513,True,282,93,508,474
1786539102.4970782,33,0.8971,0.8971,True,0,3,151,472
1786539102.7374148,30,0.6189,0.6416,True,282,93,535,473
1786539102.7374148,33,0.9184,0.9035,True,0,2,182,472
1786539102.9564245,30,0.6318,0.6387,True,259,92,531,473
1786539102.9564245,33,0.9126,0.9062,True,0,3,189,473
1786539103.1867008,30,0.6171,0.6322,True,255,94,500,475
1786539103.1867008,33,0.8968,0.9034,True,0,4,197,476
1786539103.4255667,30,0.6682,0.643,True,291,94,465,474
1786539103.4255667,33,0.8851,0.8979,True,0,5,226,474
1786539103.665188,30,0.7311,0.6694,True,259,93,618,476
1786539103.665188,33,0.914,0.9027,True,0,3,274,476
1786539103.8939607,30,0.7174,0.6838,True,241,93,637,475
1786539103.8939607,33,0.8906,0.8991,True,0,3,289,473
1786539104.1137931,30,0.7512,0.704,True,208,90,638,475
1786539104.1137931,33,0.8747,0.8918,True,0,3,271,475
1786539104.3327591,30,0.6936,0.7009,True,155,78,545,474
1786539104.3327591,33,0.8508,0.8795,True,0,5,219,472
1786539104.562264,30,0.6164,0.6756,True,74,75,459,473
1786539104.7545667,30,0.6183,0.6584,True,49,73,402,473
1786539104.9612558,30,0.6304,0.65,True,84,77,402,474
1786539105.1535451,30,0.6543,0.6513,True,121,79,433,473
1786539105.361789,30,0.6649,0.6554,True,150,80,462,473
1786539105.5533288,30,0.6406,0.6509,True,211,83,469,473
1786539105.7451057,30,0.633,0.6456,True,256,87,438,473
1786539105.9360862,30,0.7158,0.6666,True,268,88,437,473
1786539106.1286135,30,0.709,0.6793,True,275,92,452,473
1786539106.3228035,30,0.7089,0.6882,True,278,94,475,474
1786539106.510089,30,0.6904,0.6889,True,300,96,520,474
1786539106.7210968,30,0.6724,0.6839,True,349,94,549,473
1786539106.7210968,33,0.7401,0.7401,True,0,0,206,474
1786539106.9602308,30,0.707,0.6908,True,393,92,582,473
1786539106.9602308,33,0.7961,0.7569,True,0,5,272,475
1786539107.2175713,30,0.7074,0.6958,True,427,96,639,474
1786539107.2175713,33,0.8528,0.7857,True,7,3,302,475
1786539107.451961,30,0.6733,0.6891,True,445,99,635,473
1786539107.451961,33,0.8832,0.8149,True,6,3,303,473
1786539107.6776614,30,0.6676,0.6826,True,446,100,640,475
